id,year,site,replicate,block,hybrid,date_planted,date_harvested,yield_mg_ha,grain_moisture,soilpH,om_pct,soilk_ppm,soilp_ppm,previous_crop,longitude,latitude
55,2014,DEH1,1,2,Z022E0160/LH185,5/5/14,9/29/14,11.68086577,20.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
56,2014,DEH1,1,2,Z022E0077/LH185,5/5/14,9/29/14,10.59374343,18.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
57,2014,DEH1,1,2,Z022E0025/LH185,5/5/14,9/29/14,10.08365133,17.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
58,2014,DEH1,1,2,Z022E0008/LH185,5/5/14,9/29/14,10.42340797,18.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
59,2014,DEH1,1,2,Z022E0027/LH185,5/5/14,9/29/14,8.691552885,20.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
60,2014,DEH1,1,2,Z022E0003/LH185,5/5/14,9/29/14,14.24302475,22.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
61,2014,DEH1,1,2,Z022E0005/LH185,5/5/14,9/29/14,9.668593053,18.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
62,2014,DEH1,1,2,Z022E0121/LH185,5/5/14,9/29/14,12.25525055,21,NA,NA,NA,NA,soybean,-75.204048,38.637405
63,2014,DEH1,1,2,Z022E0110/LH185,5/5/14,9/29/14,11.57567731,17.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
64,2014,DEH1,1,2,Z022E0108/LH185,5/5/14,9/29/14,13.94022946,20.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
65,2014,DEH1,1,2,Z022E0006/LH185,5/5/14,9/29/14,11.94254793,19.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
66,2014,DEH1,1,2,Z022E0114/LH185,5/5/14,9/29/14,10.44540342,19.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
67,2014,DEH1,1,2,Z022E0123/LH185,5/5/14,9/29/14,13.21219878,20.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
68,2014,DEH1,1,2,Z022E0042/LH185,5/5/14,9/29/14,15.94595976,21.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
69,2014,DEH1,1,2,Z022E0046/LH185,5/5/14,9/29/14,9.307582884,19.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
70,2014,DEH1,1,2,Z022E0142/LH185,5/5/14,9/29/14,15.17543701,20.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
71,2014,DEH1,1,3,PHB47/LH195,5/5/14,9/29/14,10.29905686,21.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
72,2014,DEH1,1,3,TX785/LH195,5/5/14,9/29/14,12.75912248,18.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
73,2014,DEH1,1,3,W10004_0097/LH195,5/5/14,9/29/14,9.018389548,18.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
74,2014,DEH1,1,3,W10004_0227/LH195,5/5/14,9/29/14,12.06904988,16.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
75,2014,DEH1,1,3,TX303/LH195,5/5/14,9/29/14,9.345061333,17.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
76,2014,DEH1,1,4,MO44_LH145_0138/LH195,5/5/14,9/29/14,12.36025915,20.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
77,2014,DEH1,1,4,PHN11_OH43_0190/LH195,5/5/14,9/29/14,10.24557831,19.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
78,2014,DEH1,1,4,PHN11_PHW65_0015/LH195,5/5/14,9/29/14,11.98462032,19.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
79,2014,DEH1,1,4,MOG_NC230-009-1-1-1-1-B/LH195,5/5/14,9/29/14,11.97646664,23.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
80,2014,DEH1,1,4,MOG_PHG83-129-1-1-1-1-B/LH195,5/5/14,9/29/14,9.864094011,19.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
81,2014,DEH1,1,4,PHN11_PHW65_0328/LH195,5/5/14,9/29/14,9.454671371,17,NA,NA,NA,NA,soybean,-75.204048,38.637405
82,2014,DEH1,1,4,PHN11_PHG47_0048/LH195,5/5/14,9/29/14,10.74156635,18.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
83,2014,DEH1,1,4,MOG_LH145_0057/PB80,5/5/14,9/29/14,13.11987035,18.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
84,2014,DEH1,1,4,PHN11_PHW65_0065/LH195,5/5/14,9/29/14,10.21795472,18.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
85,2014,DEH1,1,4,MOG_MO45-055-1-1-1-1-B/LH195,5/5/14,9/29/14,7.859510332,16.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
86,2014,DEH1,1,4,PHN11_PHG47_0287/LH195,5/5/14,9/29/14,9.281750404,17.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
87,2014,DEH1,1,4,MO44_LH145_0143/LH195,5/5/14,9/29/14,16.22589777,19,NA,NA,NA,NA,soybean,-75.204048,38.637405
88,2014,DEH1,1,4,PHN11_PHW65_0294/LH195,5/5/14,9/29/14,10.73572838,18,NA,NA,NA,NA,soybean,-75.204048,38.637405
89,2014,DEH1,1,4,MOG_LH145_0131/LH195,5/5/14,9/29/14,12.02858874,17.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
90,2014,DEH1,1,4,MOG_PHG83-129-1-1-1-1-B/LH195,5/5/14,9/29/14,6.169817569,18,NA,NA,NA,NA,soybean,-75.204048,38.637405
91,2014,DEH1,1,4,PHN11_PHW65_0101/LH195,5/5/14,9/29/14,15.48239907,23.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
92,2014,DEH1,1,4,PHW65_MOG_0176/LH195,5/5/14,9/29/14,8.516750883,18.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
93,2014,DEH1,1,4,MOG_PHG83-014-1-1-1-1-B/LH195,5/5/14,9/29/14,15.47907165,19.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
94,2014,DEH1,1,4,MOG_MO45-085-1-1-1-1-B/LH195,5/5/14,9/29/14,11.76096369,20.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
95,2014,DEH1,1,4,MOG_MO45-071-1-1-1-1-B/LH195,5/5/14,9/29/14,12.78264675,18.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
96,2014,DEH1,1,4,MOG_LH145_0131/LH195,5/5/14,9/29/14,11.60478475,19.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
97,2014,DEH1,1,4,B73_NC230-127-1-1-1-1/LH195,5/5/14,9/29/14,11.90991823,19,NA,NA,NA,NA,soybean,-75.204048,38.637405
98,2014,DEH1,1,4,MOG_MO45-074-1-1-1-1-B/LH195,5/5/14,9/29/14,8.68765591,17.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
99,2014,DEH1,1,4,PHW65_MOG_0271/PB80,5/5/14,9/29/14,10.78920693,18.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
100,2014,DEH1,1,4,MOG_MO45-054-1-1-1-1-B/LH195,5/5/14,9/29/14,14.32761169,17.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
101,2014,DEH1,1,4,MOG_MO45-030-1-1-1-1-B/LH195,5/5/14,9/29/14,11.60064795,18.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
102,2014,DEH1,1,4,PHW65_MOG_0029/LH195,5/5/14,9/29/14,11.32869875,18.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
103,2014,DEH1,1,4,B73_NC230-128-1-1-1-1/LH195,5/5/14,9/29/14,11.05957486,20.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
104,2014,DEH1,1,4,PHN11_OH43_0142/LH195,5/5/14,9/29/14,12.823595,19.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
105,2014,DEH1,1,4,MOG_LH123HT-059-1-1-1-1-B/LH195,5/5/14,9/29/14,7.083269524,22.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
106,2014,DEH1,1,4,PHN11_PHG47_0251/LH195,5/5/14,9/29/14,12.34617007,21.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
107,2014,DEH1,1,4,B73_NC230-129-1-1-1-1/LH195,5/5/14,9/29/14,10.97246238,22.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
108,2014,DEH1,1,4,MOG_OH43_0300/LH195,5/5/14,9/29/14,13.24428891,25.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
109,2014,DEH1,1,4,PHN11_PHW65_0237/LH195,5/5/14,9/29/14,11.56391143,19,NA,NA,NA,NA,soybean,-75.204048,38.637405
110,2014,DEH1,1,4,PHN11_PHW65_0359/LH195,5/5/14,9/29/14,10.37540768,18.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
111,2014,DEH1,1,4,PHN11_PHW65_0323/LH195,5/5/14,9/29/14,14.9711004,19.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
112,2014,DEH1,1,4,PHN11_PHG47_0172/LH195,5/5/14,9/29/14,8.430650124,19.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
113,2014,DEH1,1,4,PHN11_LH145_0029/PB80,5/5/14,9/29/14,13.16727111,24.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
114,2014,DEH1,1,4,PHN11_PHW65_0275/LH195,5/5/14,9/29/14,13.38080309,19.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
115,2014,DEH1,1,4,B73_NC230-126-1-1-1-1/LH195,5/5/14,9/29/14,8.566459852,18,NA,NA,NA,NA,soybean,-75.204048,38.637405
116,2014,DEH1,1,4,PHN11_OH43_0215/LH195,5/5/14,9/29/14,14.35870509,19.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
117,2014,DEH1,1,4,B73_NC230-041-1-1-1-1/LH195,5/5/14,9/29/14,6.567923982,19.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
118,2014,DEH1,1,4,PHN11_PHG47_0388/LH195,5/5/14,9/29/14,13.07937174,21.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
119,2014,DEH1,1,4,MOG_PHG83-090-1-1-1-1-B/LH195,5/5/14,9/29/14,13.770531,19.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
120,2014,DEH1,1,4,PHN11_PHW65_0312/LH195,5/5/14,9/29/14,13.67502503,18.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
121,2014,DEH1,1,5,M0007/LH195,5/5/14,9/29/14,11.24518349,19.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
122,2014,DEH1,1,5,M0033/LH195,5/5/14,9/29/14,15.6103474,20.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
123,2014,DEH1,1,5,M0099/LH195,5/5/14,9/29/14,7.26614277,20.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
124,2014,DEH1,1,5,M0066/LH195,5/5/14,9/29/14,11.88302907,20.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
125,2014,DEH1,1,5,M0325/LH195,5/5/14,9/29/14,9.738828612,17.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
126,2014,DEH1,1,5,M0317/LH195,5/5/14,9/29/14,14.66589198,19.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
127,2014,DEH1,1,5,M0039/LH195,5/5/14,9/29/14,12.0215442,17.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
128,2014,DEH1,1,5,M0001/LH195,5/5/14,9/29/14,11.99505223,16.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
129,2014,DEH1,1,5,M0058/LH195,5/5/14,9/29/14,10.51395278,18.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
130,2014,DEH1,1,5,M0057/LH195,5/5/14,9/29/14,13.56190022,18.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
131,2014,DEH1,1,5,M0321/LH195,5/5/14,9/29/14,16.32982721,20.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
132,2014,DEH1,1,5,M0015/LH195,5/5/14,9/29/14,12.65529046,18.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
133,2014,DEH1,1,5,M0143/LH195,5/5/14,9/29/14,10.13288816,17.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
134,2014,DEH1,1,5,M0326/LH195,5/5/14,9/29/14,12.4689549,18.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
135,2014,DEH1,1,5,M0164/LH195,5/5/14,9/29/14,13.15551272,18.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
136,2014,DEH1,1,5,M0382/LH195,5/5/14,9/29/14,8.46167607,17.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
137,2014,DEH1,1,5,M0010/LH195,5/5/14,9/29/14,11.12379258,17.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
138,2014,DEH1,1,5,M0154/LH195,5/5/14,9/29/14,17.50223343,21.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
139,2014,DEH1,1,6,Z013E0044/LH195,5/5/14,9/29/14,8.67725397,19.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
140,2014,DEH1,1,6,Z013E0022/LH195,5/5/14,9/29/14,14.26798041,23.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
141,2014,DEH1,1,6,Z013E0074/LH195,5/5/14,9/29/14,8.833762655,17.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
142,2014,DEH1,1,6,Z013E0088/LH195,5/5/14,9/29/14,11.55658211,19.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
143,2014,DEH1,1,6,Z013E0062/LH195,5/5/14,9/29/14,13.28834726,18.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
144,2014,DEH1,1,6,Z013E0012/LH195,5/5/14,9/29/14,11.04874575,19.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
145,2014,DEH1,1,6,Z013E0046/LH195,5/5/14,9/29/14,12.2758221,19.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
146,2014,DEH1,1,6,Z013E0019/LH195,5/5/14,9/29/14,11.29126526,19.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
147,2014,DEH1,1,6,Z013E0026/LH195,5/5/14,9/29/14,13.27449799,21.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
148,2014,DEH1,1,6,Z013E0037/LH195,5/5/14,9/29/14,9.854336576,20.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
149,2014,DEH1,1,6,Z013E0027/LH195,5/5/14,9/29/14,16.23201303,22.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
150,2014,DEH1,1,6,Z013E0021/LH195,5/5/14,9/29/14,13.16039893,19,NA,NA,NA,NA,soybean,-75.204048,38.637405
151,2014,DEH1,1,6,Z013E0047/LH195,5/5/14,9/29/14,9.610145858,19.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
152,2014,DEH1,1,7,LH198/LH82,5/5/14,9/29/14,10.50362579,17.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
153,2014,DEH1,1,7,LH132/LH51,5/5/14,9/29/14,13.51022777,17,NA,NA,NA,NA,soybean,-75.204048,38.637405
154,2014,DEH1,1,7,PHG39/PHN82,5/5/14,9/29/14,8.403461197,17,NA,NA,NA,NA,soybean,-75.204048,38.637405
155,2014,DEH1,1,7,B73/MO17,5/5/14,9/29/14,11.91684286,19.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
156,2014,DEH1,1,7,CGR01/LH82,5/5/14,9/29/14,15.31694232,20.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
157,2014,DEH1,1,7,PHW52/PHM49,5/5/14,9/29/14,9.353964431,16.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
158,2014,DEH1,1,7,B73/PHN82,5/5/14,9/29/14,13.73172608,19.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
159,2014,DEH1,1,7,LH74/PHN82,5/5/14,9/29/14,12.7948323,18.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
160,2014,DEH1,1,7,B37/OH43,5/5/14,9/29/14,12.88817994,19.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
161,2014,DEH1,1,7,B73/PHG35,5/5/14,9/29/14,9.506486208,16.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
162,2014,DEH1,1,7,PHG39/PHM49,5/5/14,9/29/14,13.3756321,20,NA,NA,NA,NA,soybean,-75.204048,38.637405
163,2014,DEH1,1,7,PHW52/PHG35,5/5/14,9/29/14,7.172817609,16.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
164,2014,DEH1,1,7,PHG39/PHG35,5/5/14,9/29/14,13.06116835,18.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
165,2014,DEH1,1,7,CG60/LH82,5/5/14,9/29/14,11.76394637,18.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
166,2014,DEH1,1,7,PHW52/TX205,5/5/14,9/29/14,15.87786754,20.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
167,2014,DEH1,1,7,LH74/PHG35,5/5/14,9/29/14,9.449785159,17.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
168,2014,DEH1,1,7,PHG39/TX205,5/5/14,9/29/14,15.40541875,20.2,NA,NA,NA,NA,soybean,-75.204048,38.637405
169,2014,DEH1,1,7,TX951/LH195,5/5/14,9/29/14,12.46191036,19.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
170,2014,DEH1,1,7,B73/TX205,5/5/14,9/29/14,10.55533571,19.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
171,2014,DEH1,1,7,B37/MO17,5/5/14,9/29/14,14.26998885,18.8,NA,NA,NA,NA,soybean,-75.204048,38.637405
172,2014,DEH1,1,7,LH74/TX205,5/5/14,9/29/14,11.34115409,18.9,NA,NA,NA,NA,soybean,-75.204048,38.637405
173,2014,DEH1,1,7,LH74/PHM49,5/5/14,9/29/14,5.137829997,17.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
174,2014,DEH1,1,7,PHW52/PHN82,5/5/14,9/29/14,10.26254516,18,NA,NA,NA,NA,soybean,-75.204048,38.637405
175,2014,DEH1,1,7,CGR01/LH198,5/5/14,9/29/14,12.60078521,18.1,NA,NA,NA,NA,soybean,-75.204048,38.637405
176,2014,DEH1,1,7,CG60/LH162,5/5/14,9/29/14,13.16100597,19.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
177,2014,DEH1,1,7,B73/PHM49,5/5/14,9/29/14,13.57988628,19.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
178,2014,DEH1,1,8,Z022E0121/LH195,5/5/14,9/29/14,13.59656085,22,NA,NA,NA,NA,soybean,-75.204048,38.637405
179,2014,DEH1,1,8,Z022E0110/LH195,5/5/14,9/29/14,11.49481499,18.5,NA,NA,NA,NA,soybean,-75.204048,38.637405
180,2014,DEH1,1,8,Z022E0108/LH195,5/5/14,9/29/14,12.02104958,18.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
181,2014,DEH1,1,8,Z022E0095/LH195,5/5/14,9/29/14,12.0926266,20,NA,NA,NA,NA,soybean,-75.204048,38.637405
182,2014,DEH1,1,8,Z022E0073/LH195,5/5/14,9/29/14,11.96654433,20.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
183,2014,DEH1,1,8,Z022E0048/LH195,5/5/14,9/29/14,9.04947545,20.4,NA,NA,NA,NA,soybean,-75.204048,38.637405
184,2014,DEH1,1,8,Z022E0077/LH195,5/5/14,9/29/14,12.57083093,22.7,NA,NA,NA,NA,soybean,-75.204048,38.637405
185,2014,DEH1,1,8,Z022E0017/LH195,5/5/14,9/29/14,15.14976941,19.3,NA,NA,NA,NA,soybean,-75.204048,38.637405
186,2014,DEH1,1,8,Z022E0155/LH195,5/5/14,9/29/14,10.90482731,21.6,NA,NA,NA,NA,soybean,-75.204048,38.637405
